ID,Value,Name,Odds,TicketNumber
103,$30,Break Fort Knox,40.32%,714
105,$30,Fastest Road to $3 Million™,38.46%,757
106,$30,Gold Rush $30,38.46%,761
76,$10,$10 Break Fort Knox,33.90%,713
89,$10,Tree-Mendous winnings,32.68%,825
79,$10,Bluegrass Blowout,32.05%,815
104,$30,"$2,000,000 Diamond Dazzler",32.05%,810
84,$10,Lucky,31.95%,748
86,$10,Multiplier Craze,31.35%,807
91,$10,Triple Red 777's,31.25%,722
74,$10,$1000 Loaded!,30.58%,841
78,$10,50X THE CASH,30.49%,693
43,$5,7-703,30.40%,703
62,$5,Lucky 7 Bonus,30.12%,786
87,$10,Payout Party,29.85%,831
72,$10,$30 Million Payout Spectacular,29.67%,792
75,$10,100X,29.15%,775
80,$10,Emerald 9's,29.15%,814
81,$10,Gold Rush $10,28.99%,779
83,$10,Kentucky Millions $10,28.99%,736
90,$10,Triple Jackpot,28.99%,746
77,$10,"$200,000 Cash",28.90%,763
82,$10,Kentucky Jackpot,28.82%,798
88,$10,Power 10's,28.74%,806
97,$20,Kentucky Millions,28.74%,719
85,$10,Monopoly™,28.65%,770
57,$5,Giant Jumbo Bucks,28.57%,674
38,$5,21 Cash,28.41%,781
45,$5,Big Cash Riches,28.41%,800
51,$5,Fat Wallet,28.41%,717
65,$5,Money Multiplier Bonus,28.41%,804
66,$5,Payday,28.41%,725
41,$5,50X,28.33%,774
59,$5,Kentucky Jackpot,28.33%,797
34,$3,Peppermint Payout,28.09%,819
36,$3,Twisted,28.09%,802
67,$5,Power Shot,27.93%,833
93,$20,200X- 771,27.93%,771
99,$20,Mega Millionaire,27.93%,808
100,$20,Million $$ Match,27.93%,755
30,$3,Bingo,27.86%,759
33,$3,Groovy Slingo Trio,27.86%,818
96,$20,Kentucky Jackpot,27.86%,799
94,$20,Break Fort Knox,27.78%,723
101,$20,Money Limited Edition,27.78%,768
98,$20,Max-A-Million,27.70%,747
95,$20,High Roller,27.32%,832
102,$20,Topaz 10's,27.32%,816
35,$3,The Cash Wheel,27.10%,829
37,$5,20X THE CASH,27.10%,692
46,$5,Big Money,27.10%,718
70,$5,Win Win Win,27.10%,834
92,$20,$2000 Loaded!,27.03%,842
61,$5,Lady Luck,26.88%,801
44,$5,Amethyst 8's,26.81%,813
58,$5,Gold Rush $5,26.81%,778
63,$5,Lucky 7's Tripler,26.74%,656
39,$5,24 Karat Gold,26.67%,817
69,$5,Spicy Hot Crossword,26.67%,705
47,$5,Black Pearls,26.60%,836
56,$5,Funky 5's,26.46%,837
32,$3,Gold Fish®,26.39%,787
25,$2,Polar Payout,26.11%,823
31,$3,Crossword,25.91%,758
60,$5,Kentucky Millions $5,25.45%,735
40,$5,$500 Loaded!,25.38%,840
49,$5,Deluxe Crossword Doubler,25.25%,533
53,$5,Frosty Cash,25.19%,824
54,$5,Full of $500's Limited Edition,25.19%,851
55,$5,Full of $500's Holiday Edition,25.19%,826
50,$5,Fab 4,24.75%,794
42,$5,$5 Break Fort Knox,24.69%,712
64,$5,Mega Super Hot 7's,24.39%,830
20,$2,Fast 5X,22.78%,753
13,$2,$100 Loaded!,22.03%,839
29,$2,Triple 777,22.03%,744
14,$2,$100 IN A FLASH,21.88%,790
21,$2,Find $100,21.88%,707
27,$2,Red Hot 100's,21.83%,681
12,$1,Wild 8's,21.51%,696
18,$2,Big Money Spectacular,21.51%,789
24,$2,Love To Win,21.46%,780
71,$10,"$25, $50, $100 Blowout",21.32%,716
8,$1,Kentucky Jackpot,20.92%,795
5,$1,EZ Money,20.88%,743
6,$1,Gnome For The Holidays,20.88%,822
7,$1,Icy Hot 7's,20.88%,764
9,$1,Loose Change,20.88%,680
11,$1,Silver Dollars,20.88%,750
15,$2,10X THE CASH,20.83%,691
19,$2,Crazy Luck HD,20.83%,849
26,$2,Quick $20's,20.83%,791
22,$2,Gold Rush $2,20.79%,777
28,$2,Sapphire 7's,20.79%,812
16,$2,20X,20.75%,773
23,$2,Kentucky Jackpot,20.75%,796
17,$2,$2 Break Fort Knox,20.70%,711
2,$1,$50 Loaded!,20.66%,838
1,$1,$1 Break Fort Knox,20.62%,710
0,$1,10X,20.53%,772
3,$1,5X THE CASH,20.53%,690
10,$1,Ruby 6's,20.53%,811
68,$5,Queen of Hearts,20.41%,827
4,$1,Did I Win?,20.33%,805
48,$5,Bonus Cash Doubler,20.33%,751
52,$5,Folding Money Double Bonus,20.28%,682
73,$10,"$50, $100, and $500 Blowout!",10.26%,788
